Salt ID,Salt Smiles,Cation Heavy Atoms,Tanimoto Similarity Score,Molecular Relative,Anion,Model Prediction,MD Calculation,Error
C65_A65,O=NC(F)(NC(=O)S)[n+]1cc[nH]c1.N#C[C-](C#N)C#N,13,0.5236051502145923,1-butyl-3-methylimidazolium,tricyanomethane,[ 970.43 1040.45],"348.82, 1426.02","[178.2, 27.04]"
C01_A01,Cc1ccc[n+](CCCCCCCCCCCP)c1.CCCCCCCCOS(=O)(=O)[O-],19,0.956043956043956,N-octyl-3-methylpyridinium,octyl sulfate,[ 943.63 1019.2 ],"965.93, 1001.44","[2.31, 1.77]"
C08_A08,CCCNC(=[NH+]C(F)(Cl)CC)N(C)C(S)SCCF.NCCCC[C@H](N)C(=O)[O-],19,0.5,1-ethylpyridinium,L-lysinate,[ 997.31 1092.56],"814.02, 1183.97","[22.52, 7.72]"
C12_A12,CCCCC(CSCP)Cn1cc(CC)[n+](C)c1C.C[C@@H](O)[C@H](N)C(=O)[O-],19,0.5469387755102041,1-butyl-3-methylimidazolium,L-threoninate,[ 975.7  1062.28],"756.57, 1067.31","[28.96, 0.47]"
C16_A16,CCC(CF)CC1=NC=C[NH+]1C(C)(CCF)CCF.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,19,0.5041322314049587,1-butyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,[ 980.07 1003.08],"735.00, 1383.55","[33.34, 27.5]"
C20_A20,CCCCCC[n+]1ccccc1CCCC.C[C@@H](O)[C@H](N)C(=O)[O-],16,0.7345454545454545,"1,2-diethylpyridinium",L-threoninate,[ 953.69 1037.79],"738.71, 986.44","[29.1, 5.21]"
C28_A28,CCCCCCCC[P+](CC)(CC)SC.NCCCC[C@H](N)C(=O)[O-],15,0.6666666666666666,triethyloctylammonium,L-lysinate,[ 963.08 1004.67],"858.97, 970.32","[12.12, 3.54]"
C30_A30,CCCC(CCC)C(CC)C(CC)[n+]1cc[nH]c1.COP(=O)([O-])OC,18,0.6069651741293532,1-butyl-3-methylimidazolium,dimethylphosphate,[1014.66 1073.14],"685.25, 1014.30","[48.07, 5.8]"
C32_A32,C[N+](C)(C)C(F)CC(C(N)=O)C(N)=O.CCCCCCCCOS(=O)(=O)[O-],14,0.5363636363636364,triethyloctylammonium,octyl sulfate,[1054.28 1003.09],"863.27, 1192.80","[22.13, 15.9]"
C35_A35,CCc1cc(NO)cc(CC)[n+]1C.N#C[N-]C#N,13,0.5829383886255924,1-ethyl-2-methylpyridinium,dicyanamide,[973.82 953.05],"406.94, 1095.30","[139.3, 12.99]"
C40_A40,CCCCCCCC[n+]1ccc(CCCC)cc1.CCCCCCCCOS(=O)(=O)[O-],18,0.7639751552795031,1-butyl-2-methylpyridinium,octyl sulfate,[959.09 986.91],"938.94, 962.88","[2.15, 2.5]"
C43_A43,C#CC(CC)C[P+](CC)(CCCC)CCCC.O=C([O-])[C@@H]1CCCN1,17,0.6781609195402298,triethyloctylammonium,L-prolinate,[925.23 999.78],"743.64, 946.90","[24.42, 5.58]"
C44_A44,C=NCC[NH+](CC(CC)C(C)CC)NC.O=C([O-])C(F)(F)F,15,0.5,triethyloctylammonium,trifluoroacetate,[ 989.4 1041.7],"634.13, 1077.23","[56.02, 3.3]"
C48_A48,PCCCCCCCCCCC[n+]1ccccc1.C[C@@H](O)[C@H](N)C(=O)[O-],18,0.8220338983050848,1-butylpyridinium,L-threoninate,[ 998.06 1072.36],"831.64, 1022.84","[20.01, 4.84]"
C49_A49,CCC(F)CC#CNC(N=O)(NC=O)[n+]1cc[nH]c1.COS(=O)(=O)[O-],19,0.5042016806722689,1-ethyl-2-methylpyridinium,methylsulfate,[1002.47 1092.11],"538.55, 1351.53","[86.14, 19.19]"
C60_A60,CCCCC(C)CC(C)CC[NH+](C)C=N.O=S(=O)([O-])C(F)(F)F,15,0.6125,"N,N,N-triethyldodecan-1-aminium",trifluoromethanesulfonate,[ 974.25 1029.73],"593.43, 1128.58","[64.17, 8.76]"
C63_A63,CCCCC(CC)C(C)CC[NH+](C)C=N.CCCCCCCCOS(=O)(=O)[O-],15,0.6172839506172839,"N,N,N-triethyldodecan-1-aminium",octyl sulfate,[995.07 966.69],"875.22, 981.62","[13.69, 1.52]"
C67_A67,CCCCON(C)C(=[NH+]C(Cl)CC)PCCCC.CCCCCCCCOS(=O)(=O)[O-],18,0.5128205128205128,1-butyl-3-methylimidazolium,octyl sulfate,[ 999.76 1099.51],"939.41, 1033.22","[6.42, 6.42]"
C71_A71,CCCC(CCC)CC[NH+](C)C=N.CS(=O)(=O)[O-],13,0.5949367088607594,"N,N,N-triethyldodecan-1-aminium",methanesulfonate,[1037.58  951.88],"516.34, 1050.56","[100.95, 9.39]"
C76_A76,CCCCC(CC)(CCC)CC[N+]1=C(S)CCC1.CCCCCCCCOS(=O)(=O)[O-],18,0.5132743362831859,"N,N,N-triethyldodecan-1-aminium",octyl sulfate,[1014.3   989.43],"949.06, 991.95","[6.87, 0.25]"
C78_A78,CCCCNC(CC(CF)CCF)[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,18,0.5837104072398189,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,[1006.73 1008.96],"764.33, 1369.65","[31.71, 26.33]"
C79_A79,CCCCCCCCc1cccc[n+]1CCCC.NCCCC[C@H](N)C(=O)[O-],18,0.7188612099644128,"1,2-diethylpyridinium",L-lysinate,[927.93 978.32],"866.73, 957.33","[7.06, 2.19]"
C80_A80,CCCC(C)CCC(CCC)(C(C)=O)[n+]1cc[nH]c1.NCCCC[C@H](N)C(=O)[O-],19,0.5530973451327433,1-butyl-3-methylimidazolium,L-lysinate,[ 925.87 1017.72],"944.96, 982.23","[2.02, 3.61]"
C82_A82,CCCCCCCC[n+]1cccc(C)c1CCC.CCCCCCCCOS(=O)(=O)[O-],18,0.6029850746268657,"1,2-diethylpyridinium",octyl sulfate,[925.43 981.36],"927.66, 969.42","[0.24, 1.23]"
C87_A87,CCCCCC(CCC)CC[NH+](C)C=N.COS(=O)(=O)[O-],15,0.6049382716049383,"N,N,N-triethyldodecan-1-aminium",methylsulfate,[ 960.27 1050.25],"631.25, 1054.81","[52.12, 0.43]"
C90_A90,CCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],17,0.8899082568807339,1-butylpyridinium,octyl sulfate,[ 912.1  1000.24],"906.82, 972.49","[0.58, 2.85]"
C96_A96,CCCCCCC[P+](CC)(CC)CCP.NCCCC[C@H](N)C(=O)[O-],15,0.8513513513513513,triethyloctylammonium,L-lysinate,[950.22 985.06],"832.87, 967.56","[14.09, 1.81]"
C97_A97,CCCCP(c1c[n+](CCC(C)S)cn1C)C(C)C.NCCCC[C@H](N)C(=O)[O-],19,0.5537190082644629,1-butyl-3-methylimidazolium,L-lysinate,[1009.4  1085.29],"859.20, 1038.71","[17.48, 4.48]"
C98_A98,CCCCC(CC)CCCCC[n+]1ccn(C)c1.CCCCCCCCOS(=O)(=O)[O-],18,0.9325842696629212,1-methyl-3-octyl-1H-imidazol-3-ium,octyl sulfate,[951.85 993.7 ],"909.84, 976.10","[4.62, 1.8]"
C03_A03,PCCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],18,0.8220338983050848,1-butylpyridinium,octyl sulfate,[ 931.59 1024.14],"904.44, 1008.01","[3.0, 1.6]"
C12_A12,CCCCCC(CCC)[n+]1ccn(CCC#P)c1.O=S(=O)([O-])C(F)(F)F,18,0.7127659574468085,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,[1064.94  981.28],"753.98, 1140.84","[41.24, 13.99]"
C18_A18,C=Nc1n(CCCCCCCCCC)cc[n+]1C.CCCCCCCCOS(=O)(=O)[O-],18,0.6943005181347149,1-butyl-3-methylimidazolium,octyl sulfate,[ 927.82 1026.43],"896.94, 998.77","[3.44, 2.77]"
C19_A19,PCCCCCCCCCCC[n+]1ccccc1.CCCCCCCCOS(=O)(=O)[O-],18,0.8220338983050848,1-butylpyridinium,octyl sulfate,[ 931.59 1024.14],"1054.13, 1010.06","[11.62, 1.39]"
C06_A06,CCCCCCCC[P+](CC)(CC)CCS.NCCCC[C@H](N)C(=O)[O-],16,0.8648648648648649,triethyloctylammonium,L-lysinate,[1032.61 1061.84],"855.36, 981.66","[20.72, 8.17]"
C10_A10,CCCCCCCC[n+]1cccc(CCC)c1.C[C@@H](O)[C@H](N)C(=O)[O-],17,0.7565217391304347,N-octyl-3-methylpyridinium,L-threoninate,[ 954.15 1024.79],"740.67, 974.25","[28.82, 5.19]"
